category,name,estimate0,estimate1,significant
C0,B0,0.1880760112183908,0.08317815858473021,True
C0,B1,0.033910051246180295,0.01908151325372298,True
C0,B12,0.01212549635619764,0.023860675592696223,False
C0,B23,0.05757113632661581,0.09206216557775737,True
C0,B30,0.021689130874802176,0.0380704404526484,True
C0,B31,0.06261398315124866,0.13646756958364703,True
C0,B35,0.017737508126916213,0.014931385178873713,False
C0,B5,0.05465076257060342,0.01881635751881272,True
C0,B7,0.24672913653617257,0.0949884216026482,True
C0,B9,0.02108365576104565,0.07362944030027663,True
C1,B10,0.05280082930269936,0.018439058123170593,False
C1,B2,0.03898393548849932,0.007478109390275822,True
C1,B20,0.04718420940294443,0.033211435134591794,False
C1,B21,0.32202199128289744,0.032661401749793706,True
C1,B24,0.08601813560409721,0.07848179959824053,True
C1,B25,0.058523609212962624,0.056905252040006404,True
C1,B27,-0.00811472067947494,0.0,False
C1,B28,0.00583208248484679,0.0,False
C1,B38,0.11737370775327527,0.07353257839720051,True
C1,B4,0.05198585473739126,0.036781032689642945,True
C2,B22,-0.0047723242522493825,0.0,False
C2,B29,0.00041412781588734404,0.0,False
C2,B3,0.3387718390403811,0.02630104917166176,True
C2,B32,0.005640607809616283,0.0,False
C3,B26,0.04664442554744386,0.007276893938750195,True
C3,B34,0.07892078097233957,0.005908892244386399,True
C3,B36,-0.019255260037497224,0.0,False
C3,B37,0.02187719057729387,0.010400884371640107,True
C3,B6,0.019705163001559,0.009984878316267931,False
C3,B8,0.022133856260906803,0.0356427101427339,True
C4,B11,0.047187145974628475,0.02537214524716913,True
C4,B18,0.07415168300319808,0.017123049772579835,True
C4,B19,0.0357825280926094,0.00894566787055373,True
C4,B49,0.011928474441806669,0.0044422920010114275,True
C4,B50,0.024473197049857953,0.0058512143535895955,False
C5,B13,0.07244099594765507,0.027027265834411507,True
C5,B33,0.04621378130994591,0.027517972827045156,True
C5,B45,2.4664039412153813,0.021992619001325764,True
C6,B14,0.1655660179512426,0.1400113551022968,True
C6,B15,0.2978065198168287,0.178880023313013,True
C6,B16,0.12622209899359205,0.03292240968714544,True
C6,B17,1.047684891696251,0.0515440596253216,True
C6,B46,0.13515939579025416,0.11442534798872894,True
C6,B47,0.029778846108726942,0.06119384119167681,True
C6,B48,0.01629754174110709,0.05388756569504616,False
C7,B39,0.12153266987262601,0.0195472398055776,True
C7,B40,0.35921257449414545,0.10721588760937051,True
C7,B41,0.10017472972147745,0.024372176076967955,True
C7,B42,0.2868419537364493,0.05760569527023507,True
C7,B43,0.3228690494916897,0.08823853078645727,True
C7,B44,0.47531468409881716,0.19780248994366678,True
