,threshold_1,threshold_2,p,r,f1,f1_macro
0,0.7928571428571428,0.5071428571428571,0.5078476877683183,0.6067410162711845,0.48221893309389274,0.5529071325965994
1,0.7214285714285714,0.5071428571428571,0.4966390591778889,0.6229306165772842,0.48454254424261317,0.5526617629070152
2,0.7214285714285714,0.5428571428571428,0.5074263138325307,0.6061931030147163,0.48322394955542025,0.552429900341175
3,0.757142857142857,0.5071428571428571,0.5012057293065435,0.6152636751935623,0.48316125446300956,0.5524086514117897
4,0.8285714285714287,0.4714285714285715,0.5050315372447745,0.6093192825710705,0.4811874363473903,0.5522954683168894
5,0.8285714285714287,0.5071428571428571,0.5148004074010387,0.595516721520941,0.48018705156852165,0.5522246624273301
6,0.7928571428571428,0.4714285714285715,0.4980015107208131,0.6193815223582217,0.4819583579504268,0.5520988322097315
7,0.7928571428571428,0.5428571428571428,0.5181941761794231,0.5905916662442363,0.4810032686839558,0.5520293464045307
8,0.757142857142857,0.5428571428571428,0.5120683177660361,0.5986866577065889,0.481992394447041,0.5520001736662744
9,0.757142857142857,0.4714285714285715,0.49211940105151736,0.6277837954623148,0.48349102963813617,0.5517344470030662
10,0.864285714285714,0.4714285714285715,0.5132502775055104,0.5961930047355393,0.4788099779446234,0.5516212140367452
11,0.6857142857142856,0.5428571428571428,0.5004068594256026,0.6142969232343066,0.4840172096686139,0.5515337776588054
12,0.6857142857142856,0.5071428571428571,0.4905029163489463,0.6296635656517654,0.4852156182406145,0.5514391302250569
13,0.65,0.5428571428571428,0.4958042638253797,0.6204381599642581,0.4851395946749995,0.5511632215265527
14,0.7214285714285714,0.5785714285714285,0.517820965999917,0.5888990477811552,0.48215386865370624,0.5510775444579467
15,0.7214285714285714,0.4714285714285715,0.486864353879111,0.6346615819101525,0.4836557467320132,0.5510244411621728
16,0.8285714285714287,0.5428571428571428,0.5246004623263225,0.5801406033954339,0.4786894712117097,0.550974410563224
17,0.8285714285714287,0.4357142857142859,0.49585720546907486,0.6196889732804917,0.4810017081512952,0.5509000853649946
18,0.757142857142857,0.5785714285714285,0.5225479560812686,0.5824675370429454,0.4814859247271234,0.5508831737823753
19,0.9000000000000002,0.4357142857142859,0.5158576363123675,0.5909906440604992,0.47637288616873685,0.5508741209320424
20,0.6142857142857142,0.5428571428571428,0.491683520706854,0.6259975110240062,0.4856488188060779,0.5507701239187319
21,0.864285714285714,0.4357142857142859,0.5040016527638987,0.6070682492199163,0.47892231575898886,0.5507545482080409
22,0.6857142857142856,0.5785714285714285,0.5117537064570894,0.5959847952838934,0.48275026698174045,0.5506668360795464
23,0.864285714285714,0.5071428571428571,0.5220669981267743,0.5825735508979456,0.47766500072235785,0.5506631549491307
24,0.9000000000000002,0.4714285714285715,0.5241202558387358,0.5795265038568673,0.47562241988329335,0.5504326031828597
25,0.65,0.5071428571428571,0.4856379437086595,0.6350515846967046,0.485086381701911,0.5503846300408727
26,0.65,0.5785714285714285,0.5066185487574929,0.6023444803839808,0.4836717652419225,0.550349972875946
27,0.7928571428571428,0.4357142857142859,0.48905019203134553,0.6285810494555246,0.48145960060031573,0.5501057442426558
28,0.7928571428571428,0.5785714285714285,0.529623690443877,0.5722216315727964,0.4799456224314164,0.5500992311892122
29,0.6142857142857142,0.5785714285714285,0.502140424020746,0.6077086997813468,0.48473607458790424,0.5499037619526322
30,0.5785714285714285,0.5428571428571428,0.4870458210031783,0.6309478021201211,0.4857369595451858,0.5497356763721974
31,0.9000000000000002,0.4,0.5077175667060629,0.5986435234515547,0.47648674448889783,0.5494441837390833
32,0.9000000000000002,0.5071428571428571,0.534282765402778,0.5654019130908688,0.4749480019717593,0.5494020305966385
33,0.5785714285714285,0.5785714285714285,0.4971914202036955,0.6136328757292359,0.48529668329302916,0.5493091969351691
34,0.7214285714285714,0.6142857142857142,0.5293150123952248,0.570809262225416,0.4816069971968904,0.5492796017328903
35,0.5428571428571428,0.5785714285714285,0.49344947437407066,0.6191006619615705,0.4858052835121408,0.5491795582997665
36,0.864285714285714,0.4,0.49636252778962414,0.6144659515520257,0.4785233956383033,0.5491358542297763
37,0.864285714285714,0.5428571428571428,0.5323358403422868,0.5669959234162787,0.4767993774623901,0.5491194947929181
38,0.6142857142857142,0.5071428571428571,0.48078506922650177,0.6400638341123938,0.484853744925442,0.5491072594645032
39,0.5428571428571428,0.5428571428571428,0.48274670001333203,0.6361398672474362,0.48652742529580373,0.548928605716378
40,0.6857142857142856,0.4714285714285715,0.4804988967016314,0.6400797899327124,0.4833062871087277,0.5489264369063259
41,0.6857142857142856,0.6142857142857142,0.5232887541581173,0.577196817602525,0.4819579640967643,0.54892242358803
42,0.757142857142857,0.4357142857142859,0.4827972685932777,0.6359093466727833,0.4816446318834842,0.5488754450129686
43,0.8285714285714287,0.5785714285714285,0.5356593158057096,0.56261181815932,0.47825486874658896,0.5488048483827739
44,0.65,0.6142857142857142,0.518573184014254,0.5826583241868948,0.48245585753709924,0.5487510666300645
45,0.8285714285714287,0.4,0.4884001069579993,0.6257875791585005,0.48004271579743885,0.5486234041219548
46,0.65,0.4714285714285715,0.47636023340970374,0.6463344838451066,0.48402847564954726,0.5484804388107157
47,0.7214285714285714,0.4357142857142859,0.47829436818242127,0.6425779331860435,0.48248165585222336,0.5483968266250383
48,0.757142857142857,0.6142857142857142,0.534318284076327,0.563097663525117,0.48023390560300466,0.5483306088265444
49,0.5785714285714285,0.5071428571428571,0.4768432643644009,0.6445871883968867,0.4851439009808329,0.5481696316090142
50,0.5428571428571428,0.6142857142857142,0.5043959103079783,0.6001137912994152,0.48473706342816725,0.5481073486458807
51,0.5071428571428571,0.5785714285714285,0.4883801767672011,0.6242909646697377,0.4852844393873225,0.5480349410084037
52,0.6142857142857142,0.6142857142857142,0.5131353324653278,0.5875790281863372,0.482577874176255,0.5478397861540507
53,0.5785714285714285,0.6142857142857142,0.5082910160383595,0.5938797701971879,0.48347423544387824,0.5477622081223337
54,0.7928571428571428,0.4,0.48190123393240913,0.6343870447279393,0.48056862056660926,0.5477293016316744
55,0.9000000000000002,0.5428571428571428,0.5451083893489154,0.5499031595764984,0.4743260964253894,0.5474952769380197
